Date,Price,Open,High,Low,,
08-04-2025,"1,790.20","1,815.00","1,815.00","1,780.00",,
08-01-2025,"1,794.60","1,792.00","1,822.00","1,791.00",,
07/31/2025,"1,788.40","1,810.10","1,827.90","1,782.00",,
07/30/2025,"1,811.20","1,836.50","1,838.60","1,805.00",,
07/29/2025,"1,827.40","1,825.60","1,844.00","1,821.80",,
07/28/2025,"1,825.60","1,847.70","1,857.70","1,821.00",,
07/25/2025,"1,847.70","1,889.90","1,904.80","1,845.00",,
07/24/2025,"1,890.00","1,953.90","1,956.10","1,887.00",,
07/23/2025,"1,950.00","1,967.90","1,967.90","1,915.30",,
07/22/2025,"1,958.90","1,987.00","1,993.60","1,955.10",,
07/21/2025,"1,978.40","1,973.90","1,985.00","1,960.60",,
07/18/2025,"1,969.90","1,985.00","1,989.70","1,960.10",,
07/17/2025,"1,978.80","1,991.90","1,993.90","1,973.80",,
07/16/2025,"1,991.90","1,982.90","1,997.50","1,969.00",,
07/15/2025,"1,979.90","1,983.20","1,998.00","1,970.90",,
07/14/2025,"1,977.90","1,974.00","1,987.90","1,963.30",,
07-11-2025,"1,982.50","1,999.00","2,028.80","1,975.00",,
07-10-2025,"2,001.50","1,999.90","2,006.60","1,987.00",,
07-09-2025,"1,990.60","1,981.90","1,999.00","1,976.40",,
07-08-2025,"1,980.00","1,964.50","1,982.00","1,948.80",,
07-07-2025,"1,964.50","1,965.00","1,967.00","1,942.50",,
07-04-2025,"1,965.00","1,956.50","1,991.00","1,946.60",,
07-03-2025,"1,956.50","1,949.50","1,978.70","1,942.00",,
07-02-2025,"1,939.40","1,927.90","1,949.00","1,921.10",,
07-01-2025,"1,921.40","1,928.90","1,937.00","1,906.90",,
06/30/2025,"1,917.20","1,924.00","1,933.80","1,910.10",,
06/27/2025,"1,920.20","1,895.00","1,935.10","1,886.40",,
06/26/2025,"1,881.70","1,859.90","1,887.90","1,856.50",,
06/25/2025,"1,854.20","1,859.00","1,864.40","1,850.00",,
06/24/2025,"1,847.80","1,829.60","1,872.20","1,824.60",,
06/23/2025,"1,817.20","1,822.00","1,828.20","1,814.00",,
06/20/2025,"1,823.00","1,825.60","1,833.80","1,813.40",,
06/19/2025,"1,825.60","1,840.00","1,849.00","1,820.00",,
06/18/2025,"1,840.60","1,855.00","1,865.60","1,835.00",,
06/17/2025,"1,860.70","1,876.90","1,876.90","1,855.10",,
06/16/2025,"1,872.70","1,849.00","1,875.90","1,830.60",,
06/13/2025,"1,846.20","1,855.00","1,856.10","1,829.00",,
06-12-2025,"1,865.50","1,909.70","1,912.00","1,860.10",,
06-11-2025,"1,905.80","1,920.00","1,925.00","1,893.00",,
06-10-2025,"1,913.10","1,916.00","1,927.00","1,904.10",,
06-09-2025,"1,905.60","1,905.50","1,916.50","1,900.00",,
06-06-2025,"1,904.30","1,896.90","1,913.00","1,884.90",,
06-05-2025,"1,884.90","1,880.80","1,894.80","1,877.00",,
06-04-2025,"1,877.00","1,882.70","1,884.70","1,860.40",,
06-03-2025,"1,879.20","1,890.00","1,895.70","1,870.70",,
06-02-2025,"1,884.10","1,893.90","1,893.90","1,862.40",,
05/30/2025,"1,882.80","1,917.00","1,921.90","1,873.00",,
05/29/2025,"1,917.30","1,924.90","1,929.20","1,912.40",,
05/28/2025,"1,920.10","1,937.40","1,943.60","1,916.10",,
05/27/2025,"1,936.80","1,960.00","1,961.90","1,927.00",,
05/26/2025,"1,958.40","1,968.00","1,972.90","1,953.30",,
05/23/2025,"1,959.40","1,948.20","1,967.50","1,938.90",,
05/22/2025,"1,944.30","1,945.00","1,947.50","1,925.10",,
05/21/2025,"1,941.40","1,925.00","1,945.00","1,910.00",,
05/20/2025,"1,920.20","1,940.00","1,955.20","1,917.20",,
05/19/2025,"1,930.00","1,936.00","1,949.00","1,917.00",,
05/16/2025,"1,928.40","1,892.00","1,933.50","1,885.60",,
05/15/2025,"1,883.60","1,866.90","1,887.80","1,862.50",,
05/14/2025,"1,861.00","1,861.00","1,879.00","1,855.90",,
05/13/2025,"1,853.40","1,862.40","1,871.50","1,851.10",,
05-12-2025,"1,858.80","1,849.00","1,872.90","1,841.10",,
05-09-2025,"1,811.60","1,790.00","1,818.00","1,779.00",,
05-08-2025,"1,809.00","1,845.20","1,865.00","1,800.00",,
05-07-2025,"1,844.90","1,840.30","1,854.00","1,821.20",,
05-06-2025,"1,848.90","1,890.00","1,894.70","1,840.00",,
05-05-2025,"1,882.30","1,868.00","1,910.00","1,858.00",,
05-02-2025,"1,864.10","1,899.00","1,900.20","1,860.50",,
04/30/2025,"1,888.00","1,890.00","1,902.30","1,875.20",,
04/29/2025,"1,892.20","1,930.00","1,942.70","1,884.80",,
04/28/2025,"1,925.10","1,940.00","1,948.90","1,908.10",,
04/25/2025,"1,938.00","2,075.90","2,075.90","1,931.00",,
04/24/2025,"2,066.20","2,060.00","2,119.90","2,051.00",,
04/23/2025,"2,051.90","2,088.90","2,095.90","2,043.00",,
04/22/2025,"2,081.70","2,088.40","2,104.40","2,073.80",,
04/21/2025,"2,088.40","2,061.70","2,097.00","2,055.30",,
04/17/2025,"2,061.70","2,059.30","2,066.00","2,047.30",,
04/16/2025,"2,059.30","2,049.00","2,062.90","2,042.00",,
04/15/2025,"2,046.90","2,017.40","2,052.20","2,008.80",,
04-11-2025,"2,007.35","2,001.15","2,049.00","1,976.40",,
04-09-2025,"1,986.70","1,969.00","1,993.85","1,951.25",,
04-08-2025,"1,973.55","1,955.00","1,984.00","1,939.50",,
04-07-2025,"1,929.10","1,900.00","1,944.00","1,874.05",,
04-04-2025,"1,966.30","1,990.00","1,993.90","1,953.70",,
04-03-2025,"1,994.85","1,953.60","1,999.00","1,950.50",,
04-02-2025,"1,963.85","1,957.00","1,974.60","1,929.00",,
04-01-2025,"1,952.20","1,943.95","1,960.85","1,935.30",,
03/28/2025,"1,942.65","1,970.95","1,987.30","1,923.00",,
03/27/2025,"1,964.10","1,947.00","1,968.55","1,923.10",,
03/26/2025,"1,933.70","1,932.00","1,954.00","1,921.05",,
03/25/2025,"1,930.85","1,950.05","1,967.95","1,923.50",,
03/24/2025,"1,933.35","1,924.00","1,943.30","1,911.05",,
03/21/2025,"1,915.65","1,889.60","1,921.00","1,882.00",,
03/20/2025,"1,889.60","1,909.00","1,911.45","1,884.55",,
03/19/2025,"1,900.00","1,890.05","1,911.00","1,883.35",,
03/18/2025,"1,879.70","1,888.90","1,905.00","1,876.00",,
03/17/2025,"1,883.10","1,856.95","1,890.85","1,856.00",,
03/13/2025,"1,854.00","1,878.00","1,878.00","1,847.45",,
03-12-2025,"1,865.60","1,889.00","1,894.00","1,826.00",,
03-11-2025,"1,877.85","1,830.00","1,892.55","1,830.00",,
03-10-2025,"1,860.60","1,887.95","1,918.00","1,853.10",,
03-07-2025,"1,885.75","1,869.85","1,898.70","1,858.60",,
03-06-2025,"1,869.85","1,877.00","1,879.00","1,857.00",,
03-05-2025,"1,857.25","1,827.00","1,863.90","1,822.55",,
03-04-2025,"1,828.85","1,816.80","1,836.60","1,801.00",,
03-03-2025,"1,825.75","1,818.55","1,845.75","1,778.45",,
02/28/2025,"1,818.55","1,820.00","1,825.10","1,796.00",,
02/27/2025,"1,825.30","1,836.00","1,840.00","1,807.00",,
02/25/2025,"1,834.05","1,857.00","1,860.00","1,825.05",,
02/24/2025,"1,851.10","1,881.00","1,886.45","1,845.05",,
02/21/2025,"1,884.00","1,885.00","1,900.00","1,867.70",,
02/20/2025,"1,886.85","1,867.65","1,890.00","1,854.55",,
02/19/2025,"1,867.10","1,851.00","1,905.15","1,846.15",,
02/18/2025,"1,880.40","1,900.00","1,903.95","1,820.60",,
02/17/2025,"1,911.50","1,873.95","1,916.00","1,842.20",,
02/14/2025,"1,873.95","1,915.40","1,926.95","1,854.05",,
02/13/2025,"1,914.15","1,936.05","1,956.05","1,911.00",,
02-12-2025,"1,928.75","1,943.00","1,951.85","1,868.90",,
02-11-2025,"1,935.30","1,962.15","1,968.35","1,922.10",,
02-10-2025,"1,962.15","2,007.00","2,008.90","1,958.50",,
02-07-2025,"1,999.10","1,997.95","2,020.05","1,971.70",,
02-06-2025,"1,993.85","2,050.00","2,059.00","1,985.70",,
02-05-2025,"2,046.45","2,037.00","2,064.65","2,022.50",,
02-04-2025,"2,026.35","1,999.90","2,045.00","1,999.00",,
02-03-2025,"1,990.50","1,990.00","1,995.80","1,954.55",,
02-01-2025,"2,001.05","2,010.00","2,029.40","1,950.00",,
01/31/2025,"2,007.65","1,996.00","2,016.95","1,986.00",,
01/30/2025,"1,993.50","2,003.95","2,012.00","1,951.15",,
01/29/2025,"2,001.90","2,000.05","2,036.95","1,994.00",,
01/28/2025,"2,001.20","2,026.00","2,044.45","1,963.85",,
01/27/2025,"1,995.40","2,052.95","2,079.85","1,982.10",,
01/24/2025,"2,058.95","2,059.95","2,065.50","2,031.05",,
01/23/2025,"2,045.20","2,009.00","2,054.50","1,982.85",,
01/22/2025,"2,000.75","2,027.00","2,027.00","1,970.00",,
01/21/2025,"2,017.50","2,016.15","2,062.65","2,009.55",,
01/20/2025,"2,005.70","2,015.90","2,023.00","1,980.65",,
01/17/2025,"2,014.90","1,989.00","2,019.00","1,975.00",,
01/16/2025,"1,987.90","2,047.95","2,054.65","1,985.05",,
01/15/2025,"1,969.65","1,956.30","1,977.00","1,946.05",,
01/14/2025,"1,946.25","1,868.70","1,949.80","1,866.85",,
01/13/2025,"1,859.45","1,925.00","1,925.00","1,838.60",,
