,Price,Open,High,Low,,
09/19/2025,299.05,306.25,306.25,298,,
09/18/2025,305.85,309.35,311.15,300.05,,
09/17/2025,309.5,304.4,314.7,295,,
09/16/2025,300.75,306,310,300,,
09/15/2025,305.95,319.95,319.95,301.2,,
09-12-2025,314.9,333,336.05,306.8,,
09-11-2025,320.05,302,320.05,295.15,,
09-10-2025,304.85,288,304.85,283,,
09-09-2025,290.35,289.9,291.95,286.05,,
09-08-2025,287.45,297,297,285,,
09-05-2025,290.5,280.1,291.5,278,,
09-04-2025,286,289.95,294,285.95,,
09-03-2025,287,293.95,293.95,280,,
09-02-2025,286.45,288,288,284,,
09-01-2025,289.95,295,295,287,,
08/29/2025,289,288.95,289.2,288.95,,
08/28/2025,289,288.5,294,288.5,,
08/26/2025,288.5,288,288.5,288,,
08/25/2025,292,293,294,292,,
08/22/2025,297.5,299.45,299.45,297.5,,
08/21/2025,298,292.25,298,292.25,,
08/20/2025,292.2,292,292.2,291.7,,
08/19/2025,297.65,297.85,297.85,297.65,,
08/18/2025,297.85,297.85,297.85,297.85,,
08/14/2025,303.9,310,310,303.9,,
08/13/2025,310.1,310.1,310.1,310.1,,
08-12-2025,304.05,304,304.05,304,,
08-11-2025,298.1,296,298.1,294.55,,
08-08-2025,293,290,293,290,,
08-07-2025,294.25,299.95,299.95,294.25,,
08-06-2025,300.25,295.85,300.25,295.85,,
08-05-2025,294.4,293.15,294.4,289,,
08-04-2025,294.6,297.6,297.6,294.6,,
08-01-2025,300.6,300.6,300.6,300.6,,
07/31/2025,306.7,306.7,306.7,306.7,,
07/30/2025,312.95,312.95,312.95,312.95,,
07/29/2025,319.3,319.3,319.3,319.3,,
07/28/2025,325.8,325.8,325.8,325.8,,
07/25/2025,332.4,332.4,332.4,332.4,,
07/24/2025,339.15,339.15,339.15,339.15,,
07/23/2025,346.05,346.05,346.05,346.05,,
07/22/2025,353.1,358.8,358.8,353.1,,
07/21/2025,360.3,360,360.3,359.9,,
07/18/2025,343.15,334.95,343.15,332.85,,
07/17/2025,326.85,326.85,326.85,318.5,,
07/16/2025,311.3,303,311.3,302.5,,
07/15/2025,296.5,282.4,296.5,282.4,,
07/14/2025,282.4,288.9,288.9,276,,
07-11-2025,285.75,289.95,291,283,,
07-10-2025,289.95,289.75,298,286.1,,
07-09-2025,284.25,288.65,290.4,281.5,,
07-08-2025,288.65,289.2,289.55,280,,
07-07-2025,289.2,297.7,297.7,282.85,,
07-04-2025,297.7,295.85,301,290.25,,
07-03-2025,297.3,296,303,293,,
07-02-2025,296,302.95,302.95,293.05,,
07-01-2025,300.95,304.95,305.15,293.8,,
06/30/2025,303.65,286.05,303.9,286.05,,
06/27/2025,293.25,295.85,298.8,292.65,,
06/26/2025,292.95,297,297,290,,
06/25/2025,296.2,301,301,294.05,,
06/24/2025,301.15,293,304.55,290.05,,
06/23/2025,294.2,290.25,295,275.3,,
06/20/2025,289.7,298.45,298.45,289.7,,
06/19/2025,295.6,295.6,295.6,295.6,,
06/18/2025,289.85,284.2,289.85,284.2,,
06/17/2025,284.2,286,287,284.2,,
06/16/2025,290,287.1,290,287.1,,
06/13/2025,287.1,287.1,287.2,287.1,,
06-12-2025,292.7,288.4,292.7,288.4,,
06-11-2025,287,290,290,284.5,,
06-10-2025,290,290.05,290.05,289.25,,
06-09-2025,295.15,301.15,301.15,295.15,,
06-06-2025,301.15,301.15,301.15,301.15,,
06-05-2025,307.25,307.25,307.25,307.25,,
06-04-2025,301.25,301.25,301.25,301.25,,
06-03-2025,295.35,289.6,295.35,289.6,,
06-02-2025,289.6,289.6,289.6,289.6,,
05/30/2025,295.5,295.55,295.55,295.5,,
05/29/2025,301.5,301.5,301.5,301.5,,
05/28/2025,307.65,307.65,307.65,307.65,,
05/27/2025,313.9,313.9,313.9,313.9,,
05/26/2025,320.3,320.3,320.3,320.3,,
05/23/2025,326.8,326.8,326.8,326.8,,
05/22/2025,333.45,333.45,333.45,333.45,,
05/21/2025,340.25,345,345,340.25,,
05/20/2025,347.15,347.15,347.15,347.15,,
05/19/2025,340.35,340,340.35,340,,
05/16/2025,333.7,333.7,333.7,333.7,,
05/15/2025,317.85,315,317.85,310,,
05/14/2025,302.75,296,302.75,296,,
05/13/2025,288.35,279,288.35,279,,
05-12-2025,274.65,272.2,274.65,272.2,,
05-09-2025,261.6,265,269.5,259.1,,
05-08-2025,272.2,285.9,285.9,270.2,,
05-07-2025,275.65,254.05,279,254.05,,
05-06-2025,266.95,280.7,280.8,266.85,,
05-05-2025,280.8,302,302,280.25,,
05-02-2025,295,288.85,303,280,,
04/30/2025,288.85,309,309,288.85,,
04/29/2025,304.05,317.95,324,302.25,,
04/28/2025,318.15,320.75,335,310.25,,
04/25/2025,326.55,326.55,326.55,326.55,,
04/24/2025,333.2,333.2,333.2,333.2,,
04/23/2025,326.7,326.7,326.7,326.7,,
04/22/2025,320.3,320.3,320.3,320.3,,
04/21/2025,314.05,314.05,314.05,314.05,,
04/17/2025,307.9,307.9,307.9,307.9,,
04/16/2025,301.9,297.45,301.9,297.45,,
04/15/2025,296,296,296,296,,
04-11-2025,290.2,290.2,290.2,290.2,,
04-09-2025,284.55,283.95,284.55,283.85,,
04-08-2025,279,280,280,277,,
04-07-2025,280.3,280.3,280.3,280.3,,
04-04-2025,286,279.2,286,279.2,,
04-03-2025,284.85,290.65,290.65,284.85,,
04-02-2025,290.65,290.65,290.65,290.65,,
04-01-2025,296.55,296.55,296.55,296.55,,
03/28/2025,302.6,302.6,302.6,302.6,,
03/27/2025,308.75,308.75,308.75,308.75,,
03/26/2025,315.05,315.05,315.05,315.05,,
03/25/2025,321.45,328,328,321.45,,
03/24/2025,328,323.15,329,323.15,,
03/21/2025,323.15,314,323.15,310,,
03/20/2025,307.8,307.8,307.8,296.55,,
03/19/2025,293.15,293.15,293.15,293.15,,
03/18/2025,279.2,279.2,279.2,271,,
03/17/2025,265.95,250,266.6,250,,
03/13/2025,253.95,247,262,247,,
03-12-2025,252.3,263,263,250,,
03-11-2025,263.05,262,269.7,261.45,,
03-10-2025,275.2,280,293,275.2,,
03-07-2025,289.65,304,306,286.15,,
03-06-2025,300.6,294.15,303,281,,
03-05-2025,289.6,275,289.6,262.1,,
03-04-2025,275.85,274.95,289.4,274.95,,
03-03-2025,289.4,304.6,319,289.4,,
02/28/2025,304.6,304.6,304.6,304.6,,
02/27/2025,310.8,310.8,310.8,310.8,,
02/25/2025,317.1,317.1,317.1,317.1,,
02/24/2025,323.55,323.55,323.55,323.55,,
02/21/2025,330.15,330.15,330.15,330.15,,
02/20/2025,336.85,336.85,336.85,336.85,,
02/19/2025,343.7,345,345.15,343.7,,
02/18/2025,350.7,350.7,350.7,350.7,,
02/17/2025,357.85,357.85,357.85,357.85,,
02/14/2025,365.15,365.15,365.15,365.15,,
02/13/2025,372.6,365.3,372.6,365.3,,
02-12-2025,365.3,365.3,365.3,365.3,,
02-11-2025,372.75,372.75,372.75,372.75,,
02-10-2025,380.35,380.55,380.55,380.35,,
02-07-2025,388.1,388.1,388.1,388.1,,
02-06-2025,396,396,396,396,,
02-05-2025,388.25,377.15,388.25,377.15,,
02-04-2025,380.65,380.65,380.65,380.65,,
02-03-2025,388.4,388.4,388.4,388.4,,
02-01-2025,396.3,396.35,396.35,396.3,,
01/31/2025,404.35,406,410,404.35,,
01/30/2025,412.6,412.6,412.6,412.6,,
01/29/2025,421,421,425.65,421,,
01/28/2025,429.55,429.55,429.55,429.55,,
01/27/2025,438.3,438.3,438.3,438.3,,
01/24/2025,447.2,447.2,447.2,447.2,,
01/23/2025,456.3,456.3,456.3,456.3,,
01/22/2025,465.6,465.6,465.6,431.9,,
01/21/2025,443.45,443.45,443.45,443.45,,
01/20/2025,422.35,420,422.35,415,,
01/17/2025,402.25,390.95,402.25,390,,
01/16/2025,383.1,367.95,383.75,365,,
01/15/2025,365.5,382.5,388.65,363.4,,
01/14/2025,382.5,355,387,354.7,,
01/13/2025,373.35,373.35,373.35,373.35,,
