,Price,Open,High,Low,,
07/24/2025,"3,242.50","3,192.00","3,266.30","3,166.20",,
07/23/2025,"3,188.90","3,113.00","3,196.90","3,071.00",,
07/22/2025,"3,100.90","3,096.20","3,139.90","3,086.10",,
07/21/2025,"3,086.10","3,159.00","3,198.40","3,054.80",,
07/18/2025,"3,122.00","3,206.00","3,272.50","3,107.10",,
07/17/2025,"3,206.00","3,289.00","3,302.10","3,198.10",,
07/16/2025,"3,290.50","3,224.00","3,342.00","3,207.30",,
07/15/2025,"3,221.30","3,200.00","3,280.00","3,190.90",,
07/14/2025,"3,197.00","3,114.80","3,234.00","3,078.50",,
07-11-2025,"3,112.10","3,175.60","3,192.00","3,070.10",,
07-10-2025,"3,170.60","3,130.00","3,181.00","3,125.00",,
07-09-2025,"3,119.50","3,057.00","3,159.10","3,046.00",,
07-08-2025,"3,068.60","2,920.00","3,083.00","2,917.00",,
07-07-2025,"2,917.00","2,978.00","3,005.00","2,905.00",,
07-04-2025,"2,978.10","2,994.40","3,021.00","2,963.10",,
07-03-2025,"2,992.90","2,980.00","3,015.00","2,931.20",,
07-02-2025,"2,965.70","3,073.90","3,107.90","2,955.00",,
07-01-2025,"3,063.10","3,178.00","3,197.00","3,042.00",,
06/30/2025,"3,139.40","2,985.00","3,154.00","2,972.10",,
06/27/2025,"2,947.50","2,962.00","3,010.60","2,931.00",,
06/26/2025,"2,946.80","2,961.00","2,968.40","2,917.40",,
06/25/2025,"2,942.10","3,000.00","3,095.00","2,933.00",,
06/24/2025,"2,971.20","2,978.00","3,048.00","2,901.00",,
06/23/2025,"2,928.60","2,962.00","3,008.00","2,917.00",,
06/20/2025,"2,989.00","2,675.00","3,025.30","2,675.00",,
06/19/2025,"2,671.20","2,702.00","2,764.00","2,641.00",,
06/18/2025,"2,698.80","2,770.00","2,781.60","2,691.00",,
06/17/2025,"2,790.40","2,889.10","2,893.00","2,781.20",,
06/16/2025,"2,887.60","2,829.90","2,895.00","2,757.30",,
06/13/2025,"2,824.70","2,742.30","2,839.90","2,742.30",,
06-12-2025,"2,839.80","2,892.00","2,923.80","2,831.00",,
06-11-2025,"2,884.00","2,850.00","2,956.80","2,849.90",,
06-10-2025,"2,837.90","2,820.00","2,885.00","2,805.90",,
06-09-2025,"2,806.30","2,843.50","2,859.00","2,791.00",,
06-06-2025,"2,828.30","2,873.30","2,884.00","2,812.40",,
06-05-2025,"2,852.40","2,889.70","2,988.00","2,836.20",,
06-04-2025,"2,880.90","2,895.50","2,940.00","2,865.30",,
06-03-2025,"2,887.10","2,931.00","2,955.40","2,878.90",,
06-02-2025,"2,920.50","2,984.90","2,984.90","2,912.00",,
05/30/2025,"2,978.90","3,029.90","3,068.00","2,952.20",,
05/29/2025,"3,017.10","2,817.00","3,042.00","2,804.30",,
05/28/2025,"2,797.10","2,809.60","2,835.00","2,790.00",,
05/27/2025,"2,796.70","2,812.90","2,824.00","2,775.30",,
05/26/2025,"2,804.40","2,775.00","2,830.00","2,745.80",,
05/23/2025,"2,765.00","2,875.00","2,914.70","2,664.00",,
05/22/2025,"2,996.90","2,977.80","3,080.00","2,960.00",,
05/21/2025,"2,982.40","2,914.00","2,995.00","2,866.30",,
05/20/2025,"2,915.80","2,981.00","3,036.80","2,885.00",,
05/19/2025,"2,948.40","2,940.40","3,021.00","2,850.00",,
05/16/2025,"2,921.10","2,900.00","2,994.00","2,890.10",,
05/15/2025,"2,867.30","2,818.00","2,900.00","2,766.60",,
05/14/2025,"2,807.70","2,711.00","2,871.20","2,706.90",,
05/13/2025,"2,690.10","2,688.10","2,717.00","2,665.20",,
05-12-2025,"2,678.70","2,700.00","2,708.00","2,661.00",,
05-09-2025,"2,594.00","2,541.00","2,610.00","2,540.30",,
05-08-2025,"2,610.40","2,623.90","2,730.10","2,580.10",,
05-07-2025,"2,628.90","2,556.20","2,642.00","2,530.30",,
05-06-2025,"2,582.80","2,723.90","2,733.90","2,567.50",,
05-05-2025,"2,705.80","2,591.00","2,731.20","2,569.30",,
05-02-2025,"2,565.50","2,609.90","2,640.00","2,550.00",,
