Date,Price,Open,High,Low,,
10-08-2025,245.25,241.3,245.85,241.15,,
10-07-2025,242.3,242.95,244.3,241,,
10-06-2025,243.25,241.2,244.15,240.35,,
10-03-2025,241.2,242.8,242.8,239.9,,
10-02-2025,241.2,234.2,241.9,234,,
10-01-2025,231.45,228.6,232.55,226.65,,
09/30/2025,229.2,225.1,229.25,225.1,,
09/29/2025,226.2,229.5,230.5,225.55,,
09/26/2025,228.75,226.6,230.45,226.2,,
09/25/2025,223.8,225.8,226.3,220.3,,
09/24/2025,226.35,227.8,228.5,225.9,,
09/23/2025,229,229.55,230.75,225.75,,
09/22/2025,227.05,227.95,228.1,225.35,,
09/19/2025,228.4,229.7,229.7,226.65,,
09/18/2025,228,226.6,230.55,226.55,,
09/17/2025,225.25,225.8,226.2,223.2,,
09/16/2025,226.05,229.95,231.4,225.8,,
09/15/2025,230.2,230.4,232.3,227.8,,
09-12-2025,228.55,229.75,229.9,226.7,,
09-11-2025,229.05,229.3,232.3,227.4,,
09-10-2025,228.4,229,229.9,225.7,,
09-09-2025,228.5,230.85,231.8,227.8,,
09-08-2025,230.65,228.5,232.1,228.1,,
09-05-2025,226,231.5,232.25,224.65,,
09-04-2025,230.05,229.55,230.95,228.3,,
09-03-2025,229.45,231,233.4,228.8,,
09-02-2025,228.7,238,238.1,228.7,,
09-01-2025,239.2,238.1,239.95,238.1,,
08/29/2025,236.6,235.2,240.6,234.75,,
08/28/2025,236.85,235.4,237.8,235.05,,
08/27/2025,233,236.15,236.45,231,,
08/26/2025,234.9,233.05,236.55,232.85,,
08/25/2025,235.5,235.15,236.55,234.2,,
08/22/2025,236.9,232.7,237.5,232.7,,
08/21/2025,233.65,232.9,234.35,232.3,,
08/20/2025,233.5,235.65,236.9,232.8,,
08/19/2025,238.25,234.55,239.1,234.4,,
08/18/2025,233.55,233.4,233.85,231.5,,
08/15/2025,234.25,235,237.2,233.2,,
08/14/2025,233.25,230.35,233.95,230.35,,
08/13/2025,230.25,232.5,233.55,229.7,,
08-12-2025,231.1,229.6,231.6,227.55,,
08-11-2025,228.05,234,234.3,227.1,,
08-08-2025,232.4,229.75,232.8,228.4,,
08-07-2025,227.1,216.3,231.1,214.8,,
08-06-2025,219,221.2,222.2,217.8,,
08-05-2025,218.8,218.35,221.35,217.7,,
08-04-2025,216.8,213.9,218,213.65,,
08-01-2025,212.95,222.15,222.6,212.95,,
07/31/2025,224.9,228.95,230.9,224.9,,
07/30/2025,228.95,227.7,231.1,226.3,,
07/29/2025,227.05,226.5,229.3,226.1,,
07/28/2025,225.65,231.2,232.1,225,,
07/25/2025,227.3,226,227.8,224.35,,
07/24/2025,227.25,230,231.9,226.2,,
07/23/2025,227.7,226.95,227.9,224.5,,
07/22/2025,220.35,223.6,224.1,218.05,,
07/21/2025,224.55,224.9,227.25,224.35,,
07/18/2025,224.2,228,228.75,223,,
07/17/2025,226,222.05,226.55,221.5,,
07/16/2025,217.15,216.95,218.95,215.4,,
07/15/2025,218.3,221.45,223.15,218.1,,
07/14/2025,220.3,220.35,221.1,218.7,,
07-11-2025,223.05,225.05,225.2,221.95,,
07-10-2025,226.8,226.6,227.9,225.4,,
07-09-2025,225.5,218,227.65,217.6,,
07-08-2025,217.05,219.3,219.45,216.55,,
07-07-2025,218.35,217.1,218.5,215.15,,
07-04-2025,216,218.85,220.1,216,,
07-03-2025,221.3,222.75,226,220.35,,
07-02-2025,219.5,217.4,219.5,216.75,,
07-01-2025,215.65,217.35,218.3,213.75,,
06/30/2025,217.65,224.45,224.5,217.65,,
06/27/2025,222.75,216.4,223,215.75,,
06/26/2025,214.85,214.2,216.1,212.8,,
06/25/2025,213.6,215.8,216.25,212.7,,
06/24/2025,214.5,214.75,216.75,213.4,,
06/23/2025,208.8,208.4,210.8,206.7,,
06/20/2025,209.3,209.95,212.6,209.3,,
06/19/2025,207.9,208.85,210.25,207.65,,
06/18/2025,211.05,213.15,213.85,210.65,,
06/17/2025,214,214.2,215.5,212.2,,
06/16/2025,216,216.05,217,214.75,,
06/13/2025,214.95,212.75,214.95,211.85,,
06-12-2025,217.35,216.7,219.4,215.05,,
06-11-2025,219.7,219.65,221.5,217.35,,
06-10-2025,219.05,219.4,220.3,217.2,,
06-09-2025,219.3,218.5,220.1,217.5,,
06-06-2025,218.8,219.2,219.6,216.9,,
06-05-2025,219.25,218.15,219.85,216.25,,
06-04-2025,218.05,218.3,219,216.35,,
06-03-2025,214.05,213.2,214.1,209.9,,
06-02-2025,213.65,210.65,214.75,209.6,,
05/30/2025,211.8,213.6,216.45,211.8,,
05/29/2025,212.6,218.5,218.55,212.5,,
05/28/2025,217.5,221.85,222.3,217.5,,
05/27/2025,221,218.75,222.8,217.95,,
05/26/2025,218.65,217,219.15,216.55,,
05/23/2025,212.3,217.2,220,208.4,,
05/22/2025,217.1,218.9,220,216.65,,
