,Price,Open,High,Low,,
09-11-2025,56.94,57.57,58.04,56.88,,
09-10-2025,57.57,57.3,58.03,57.21,,
09-09-2025,57.06,57.73,57.75,57,,
09-08-2025,57.45,58.1,58.25,57.35,,
09-05-2025,57.87,57.64,58.15,57.3,,
09-04-2025,57.42,58.74,58.9,57.27,,
09-03-2025,57.99,58.25,58.72,57.9,,
09-02-2025,58.25,58.45,59.1,57.9,,
09-01-2025,57.86,56.9,57.98,56.57,,
08/29/2025,56.43,56.35,57.15,55.53,,
08/28/2025,56.32,57.31,57.31,55.89,,
08/26/2025,56.97,57.04,57.45,56.61,,
08/25/2025,57.43,59.04,59.04,57.36,,
08/22/2025,58.51,58.39,59.29,58.06,,
08/21/2025,58.16,60.16,60.24,58.01,,
08/20/2025,59.85,59.65,60.35,59.2,,
08/19/2025,59.59,58.25,59.75,57.72,,
08/18/2025,58.07,61.5,61.64,56.62,,
08/14/2025,60.06,60.68,60.99,60,,
08/13/2025,60.38,63.15,63.8,60.1,,
08-12-2025,63.13,64.2,64.95,62.57,,
08-11-2025,63.32,63.2,64.78,62.89,,
08-08-2025,63.19,64.5,64.52,62.96,,
08-07-2025,64.21,64.81,65.26,62.21,,
08-06-2025,65.26,65.78,65.85,64.57,,
08-05-2025,65.44,65,66.1,64.87,,
08-04-2025,65,66.6,66.81,64.65,,
08-01-2025,65.95,62.3,66.8,62.3,,
07/31/2025,61.6,60.05,62.02,59.78,,
07/30/2025,61.21,61.98,62.05,61.01,,
07/29/2025,61.79,60.69,62.61,59.95,,
07/28/2025,60.85,63.5,63.55,60.65,,
07/25/2025,63.62,65.3,65.32,62.83,,
07/24/2025,65.32,65.98,66.24,65.05,,
07/23/2025,65.98,66.1,66.44,65.52,,
07/22/2025,66.58,66.68,66.78,65.7,,
07/21/2025,66.42,65.24,66.5,65,,
07/18/2025,65.06,66.26,66.59,64.77,,
07/17/2025,66.26,67.1,67.14,66.05,,
07/16/2025,67.03,67.3,68.3,66.85,,
07/15/2025,67.17,65.47,67.4,65.47,,
07/14/2025,65.44,66.22,66.44,65.26,,
07-11-2025,65.92,65.97,66.26,65.25,,
07-10-2025,65.97,66,66.54,65.51,,
07-09-2025,65.94,66.47,66.85,65.72,,
07-08-2025,66.26,65.79,66.5,65.3,,
07-07-2025,65.88,65.8,66.59,65.13,,
07-04-2025,65.53,65.5,65.7,64.92,,
07-03-2025,65.27,65.4,66.21,64.92,,
07-02-2025,64.79,67.38,67.52,64.4,,
07-01-2025,67.2,67.72,68.12,67.01,,
06/30/2025,67.72,67.65,68.17,66.5,,
06/27/2025,67.32,64.8,67.7,64.45,,
06/26/2025,64.53,64.54,65.57,64.08,,
06/25/2025,64.32,64.9,64.9,63.91,,
06/24/2025,64.39,63.7,64.67,63.26,,
06/23/2025,62.79,62.6,63.2,62.05,,
06/20/2025,63.23,62.56,64.48,62.42,,
06/19/2025,62.53,64,64.4,61.76,,
06/18/2025,64.07,64.52,65.24,63.81,,
06/17/2025,64.52,65.41,65.87,64.11,,
06/16/2025,65.41,64.5,65.8,63.16,,
06/13/2025,64.73,64.19,65.48,63.32,,
06-12-2025,65.68,67.75,67.89,65.5,,
06-11-2025,67.59,68.6,69.4,67.12,,
06-10-2025,68.29,67.83,69.5,66.8,,
06-09-2025,67.13,67.75,68.3,67,,
06-06-2025,66.71,67.4,67.5,66.1,,
06-05-2025,66.77,67,68.6,66.5,,
06-04-2025,66.72,68.35,68.58,66.5,,
06-03-2025,68.15,71.7,72.4,67.9,,
06-02-2025,71.19,72.2,73.5,70.71,,
05/30/2025,71.48,71.5,74.3,70.55,,
05/29/2025,65.42,67.19,67.61,64.75,,
05/28/2025,66.32,65.71,68.5,65.51,,
05/27/2025,65.39,64.9,66,63.61,,
05/26/2025,64.37,62.83,65.95,62.74,,
05/23/2025,62.21,61.45,62.9,60.66,,
05/22/2025,61.01,61,61.72,60.35,,
05/21/2025,61.28,60.2,61.65,59.35,,
05/20/2025,60.35,61.95,62.19,60.1,,
05/19/2025,61.53,61.21,62.6,61.12,,
05/16/2025,61.08,61.6,62.13,60.35,,
05/15/2025,61.22,60.4,61.77,60.1,,
05/14/2025,59.92,57.9,60.4,57.4,,
05/13/2025,57.6,57.2,58.17,56.71,,
05-12-2025,56.95,56.24,57.4,55.24,,
05-09-2025,52.67,51.25,53,51.1,,
05-08-2025,53.15,55.5,55.98,52.8,,
05-07-2025,54.7,52.4,55.18,52.4,,
05-06-2025,53.74,57,57.49,53.42,,
05-05-2025,56.92,56.5,57.25,56.35,,
05-02-2025,56.25,56.16,56.99,55.86,,
04/30/2025,56.4,57.7,57.9,56,,
04/29/2025,57.7,58,59.5,57.35,,
04/28/2025,57.78,57.5,58.49,57,,
04/25/2025,58.3,60.31,60.45,56.72,,
04/24/2025,60.11,60,61.49,59.72,,
04/23/2025,59.99,59.68,60.17,58.13,,
04/22/2025,59.27,60.95,61.58,59.02,,
04/21/2025,60.29,55.55,61.1,55.5,,
04/17/2025,55.07,54.33,55.72,54.01,,
04/16/2025,54.34,54.51,54.89,53.85,,
04/15/2025,54.37,54.88,55.66,53.91,,
04-11-2025,53,53.96,53.96,52.16,,
04-09-2025,51.21,53.07,53.76,51.01,,
04-08-2025,53.08,54.34,54.34,52.73,,
04-07-2025,52.12,46.9,53.1,46.15,,
04-04-2025,55.36,57.49,57.5,54.66,,
04-03-2025,57.49,56.21,57.82,56.2,,
04-02-2025,57.43,55.84,57.74,54.36,,
04-01-2025,55.75,55.5,56.98,55.11,,
03/28/2025,56.66,57.36,58.4,56.4,,
03/27/2025,57.01,57.11,57.94,56.44,,
03/26/2025,57.43,57.9,58.63,56.3,,
03/25/2025,57.65,58.46,59.48,57.05,,
03/24/2025,57.91,57.69,58.36,57.05,,
03/21/2025,56.5,58.38,58.65,55.94,,
03/20/2025,58.39,58.9,59.4,56.68,,
03/19/2025,57.76,55.39,58,55.34,,
03/18/2025,54.98,55.35,55.55,54.76,,
03/17/2025,54.5,54.74,56.5,54.25,,
03/13/2025,54.58,54.35,55,53.62,,
03-12-2025,53.85,54.06,54.45,52.77,,
03-11-2025,53.76,52.02,54.15,51.63,,
03-10-2025,53.24,55.11,56.79,52.76,,
03-07-2025,54.92,51.99,56.94,51.6,,
03-06-2025,52.1,52.69,52.89,51.72,,
03-05-2025,51.49,50.6,52.05,50.51,,
03-04-2025,50.11,48.85,51.49,48.52,,
03-03-2025,49.78,50.05,51.19,46.6,,
02/28/2025,49.71,51.21,51.9,49.51,,
02/27/2025,52.13,54.64,54.94,51.75,,
02/25/2025,54.58,54.29,55.08,54.27,,
02/24/2025,54.29,54.6,54.7,53.45,,
02/21/2025,55.17,54.9,56.3,54.3,,
02/20/2025,54.88,54,55.35,53.25,,
02/19/2025,54.16,50.3,55.28,49.84,,
02/18/2025,50.64,51,51.35,49.49,,
02/17/2025,51.42,51,51.69,49.5,,
02/14/2025,51.14,53.55,53.88,50.45,,
02/13/2025,53.35,52.81,53.95,52.29,,
02-12-2025,52.4,51.99,52.99,49.05,,
02-11-2025,51.99,52.85,53.05,50.32,,
02-10-2025,52.72,53.39,54.39,52.31,,
02-07-2025,53.61,54.97,55.08,52.92,,
02-06-2025,54.92,55.91,56.38,54.55,,
02-05-2025,55.9,57.24,57.77,55.77,,
02-04-2025,56.92,57.19,57.98,55.96,,
02-03-2025,56.37,57.78,59.1,55.41,,
02-01-2025,58.16,60.5,61.07,56.51,,
01/31/2025,58.17,57,58.17,56.55,,
01/30/2025,55.4,55.4,55.4,55.4,,
01/29/2025,52.77,52.77,52.77,52.77,,
01/28/2025,50.26,50.59,51.59,47.81,,
01/27/2025,50.23,52.4,52.48,49.91,,
01/24/2025,52.54,54.9,54.99,52.15,,
01/23/2025,54.31,55.12,56.64,54.19,,
01/22/2025,55.12,57.43,57.84,54.55,,
01/21/2025,57.43,58.35,58.47,56.35,,
01/20/2025,58.09,57.52,58.79,56.26,,
01/17/2025,56.84,57,57.39,55.94,,
01/16/2025,56.87,58.76,59.19,56.7,,
01/15/2025,57.26,57.17,59.8,56.81,,
01/14/2025,57.17,55.2,57.17,55.11,,
01/13/2025,54.45,54.5,57,53.98,,
